name,parent_country,level,iso3,region_group,area_km2,population,population_year,area_year,population_source,area_source,density_per_km2
Algeria,Algeria,Country,DZA,Africa,2381740.0,47435312.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,19.916242746899325
Angola,Angola,Country,AGO,Africa,1246700.0,39040039.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,31.314702013315152
Benin,Benin,Country,BEN,Africa,114760.0,14814460.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,129.09079818752178
Botswana,Botswana,Country,BWA,Africa,581730.0,2562122.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,4.404314716449212
Burkina Faso,Burkina Faso,Country,BFA,Africa,274200.0,24074580.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,87.79934354485776
Burundi,Burundi,Country,BDI,Africa,27830.0,14390003.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,517.0680201221703
Cabo Verde,Cabo Verde,Country,CPV,Africa,4030.0,527326.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,130.8501240694789
Cameroon,Cameroon,Country,CMR,Africa,475440.0,29879337.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,62.845652448258456
Central African Republic,Central African Republic,Country,CAF,Africa,622980.0,5513282.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,8.849853927894957
Chad,Chad,Country,TCD,Africa,1284000.0,21003705.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,16.35802570093458
Comoros,Comoros,Country,COM,Africa,1861.0,882847.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,474.3938742611499
Congo,Congo,Country,COG,Africa,342000.0,6484437.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,18.96034210526316
"Congo, Democratic Republic of the","Congo, Democratic Republic of the",Country,COD,Africa,2344860.0,112832473.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,48.11906595702942
Côte d'Ivoire,Côte d'Ivoire,Country,CIV,Africa,322460.0,32711547.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,101.44373565713578
Djibouti,Djibouti,Country,DJI,Africa,23200.0,1184076.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,51.03775862068966
Egypt,Egypt,Country,EGY,Africa,1001450.0,118365995.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,118.19461281142344
Equatorial Guinea,Equatorial Guinea,Country,GNQ,Africa,28050.0,1938431.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,69.10627450980392
Eritrea,Eritrea,Country,ERI,Africa,121765.8,3607003.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,29.622463778827882
Eswatini,Eswatini,Country,SWZ,Africa,17360.0,1256174.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,72.3602534562212
Ethiopia,Ethiopia,Country,ETH,Africa,1136239.7,135472051.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,119.22840840713452
Gabon,Gabon,Country,GAB,Africa,267670.0,2593130.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,9.687787200657526
Gambia,Gambia,Country,GMB,Africa,11300.0,2822093.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,249.74274336283185
Ghana,Ghana,Country,GHA,Africa,238539.0,35064272.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,146.99597130867488
Guinea,Guinea,Country,GIN,Africa,245860.0,15099727.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,61.415956235255834
Guinea-Bissau,Guinea-Bissau,Country,GNB,Africa,36130.0,2249515.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,62.261693883199555
Kenya,Kenya,Country,KEN,Africa,591969.0,57532493.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,97.18835445775032
Lesotho,Lesotho,Country,LSO,Africa,30360.0,2363325.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,77.84337944664031
Liberia,Liberia,Country,LBR,Africa,111370.0,5731206.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,51.46094998653138
Libya,Libya,Country,LBY,Africa,1759540.0,7458555.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,4.238923241301704
Madagascar,Madagascar,Country,MDG,Africa,587295.0,32740678.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,55.748266203526335
Malawi,Malawi,Country,MWI,Africa,118480.0,22216120.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,187.50945307224848
Mali,Mali,Country,MLI,Africa,1240190.0,25198821.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,20.318516517630364
Mauritania,Mauritania,Country,MRT,Africa,1030700.0,5315065.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,5.156752692345008
Mauritius,Mauritius,Country,MUS,Africa,2010.0,1243741.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,618.7766169154229
Morocco,Morocco,Country,MAR,Africa,446550.0,38430770.0,2025.0,2023.0,World Bank SP.POP.TOTL,World Bank AG.SRF.TOTL.K2,86.06151606762961
