name,parent_country,level,iso3,region_group,area_km2,population,population_year,area_year,population_source,area_source,density_per_km2
Badakhshan Province,Afghanistan,Subdivision,AFG,South Asia,44059.0,1054087.0,2021,,Wikidata P1082,Wikidata P2046,23.924442225198028
Badghis Province,Afghanistan,Subdivision,AFG,South Asia,20591.0,549583.0,2021,,Wikidata P1082,Wikidata P2046,26.690447282793453
Baghlan Province,Afghanistan,Subdivision,AFG,South Asia,18255.0,1014634.0,2021,,Wikidata P1082,Wikidata P2046,55.58115584771296
Balkh Province,Afghanistan,Subdivision,AFG,South Asia,16186.3,1509183.0,2021,,Wikidata P1082,Wikidata P2046,93.23829411292266
Bamyan Province,Afghanistan,Subdivision,AFG,South Asia,14175.0,495557.0,2021,,Wikidata P1082,Wikidata P2046,34.95992945326279
Daykundi Province,Afghanistan,Subdivision,AFG,South Asia,18088.0,516504.0,2021,,Wikidata P1082,Wikidata P2046,28.555064130915525
Farah Province,Afghanistan,Subdivision,AFG,South Asia,48470.9,563026.0,2021,,Wikidata P1082,Wikidata P2046,11.615752956928796
Faryab Province,Afghanistan,Subdivision,AFG,South Asia,20293.0,1109223.0,2021,,Wikidata P1082,Wikidata P2046,54.660375498940525
Ghazni Province,Afghanistan,Subdivision,AFG,South Asia,22915.0,1362504.0,2021,,Wikidata P1082,Wikidata P2046,59.459044294130486
Ghor Province,Afghanistan,Subdivision,AFG,South Asia,3657.0,764472.0,2021,,Wikidata P1082,Wikidata P2046,209.04347826086956
Helmand Province,Afghanistan,Subdivision,AFG,South Asia,58584.0,1446230.0,2021,,Wikidata P1082,Wikidata P2046,24.68643315581046
Herat Province,Afghanistan,Subdivision,AFG,South Asia,54778.0,1762157.0,2012,,Wikidata P1082,Wikidata P2046,32.16906422286319
Jowzjan Province,Afghanistan,Subdivision,AFG,South Asia,11798.3,613481.0,2021,,Wikidata P1082,Wikidata P2046,51.99740640600765
Kabul Province,Afghanistan,Subdivision,AFG,South Asia,4461.6,5766181.0,2023,,Wikidata P1082,Wikidata P2046,1292.40205307513
Kandahar Province,Afghanistan,Subdivision,AFG,South Asia,54022.0,1431876.0,2021,,Wikidata P1082,Wikidata P2046,26.505423716263746
Kapisa Province,Afghanistan,Subdivision,AFG,South Asia,1842.0,399500.0,2009,,Wikidata P1082,Wikidata P2046,216.88382193268185
Khost Province,Afghanistan,Subdivision,AFG,South Asia,4151.5,647730.0,2021,,Wikidata P1082,Wikidata P2046,156.02312417198604
Kunar Province,Afghanistan,Subdivision,AFG,South Asia,4339.0,578500.0,2006,,Wikidata P1082,Wikidata P2046,133.3256510716755
Kunduz Province,Afghanistan,Subdivision,AFG,South Asia,8040.0,820000.0,2002,,Wikidata P1082,Wikidata P2046,101.99004975124379
Laghman Province,Afghanistan,Subdivision,AFG,South Asia,3843.0,4035000.0,2009,,Wikidata P1082,Wikidata P2046,1049.9609679937548
Logar Province,Afghanistan,Subdivision,AFG,South Asia,3879.8,442037.0,2021,,Wikidata P1082,Wikidata P2046,113.93293468735502
Maidan Wardak Province,Afghanistan,Subdivision,AFG,South Asia,9934.0,656720.0,2021,,Wikidata P1082,Wikidata P2046,66.1083148781961
Nangarhar Province,Afghanistan,Subdivision,AFG,South Asia,7727.0,1735531.0,2021,,Wikidata P1082,Wikidata P2046,224.60605668435358
Nimruz Province,Afghanistan,Subdivision,AFG,South Asia,41356.0,149000.0,,,Wikidata P1082,Wikidata P2046,3.6028629461263177
Nuristan Province,Afghanistan,Subdivision,AFG,South Asia,9225.0,160000.0,2019,,Wikidata P1082,Wikidata P2046,17.344173441734416
Paktia Province,Afghanistan,Subdivision,AFG,South Asia,6432.0,667956.0,2025,,Wikidata P1082,Wikidata P2046,103.84888059701493
Paktika Province,Afghanistan,Subdivision,AFG,South Asia,19482.0,393800.0,2009,,Wikidata P1082,Wikidata P2046,20.213530438353352
Panjshir Province,Afghanistan,Subdivision,AFG,South Asia,3610.0,176000.0,2022,,Wikidata P1082,Wikidata P2046,48.75346260387812
Parwan Province,Afghanistan,Subdivision,AFG,South Asia,5974.0,664502.0,2013,,Wikidata P1082,Wikidata P2046,111.23234014060931
Samangan Province,Afghanistan,Subdivision,AFG,South Asia,11262.0,438235.0,2021,,Wikidata P1082,Wikidata P2046,38.91271532587462
Sar-e Pol Province,Afghanistan,Subdivision,AFG,South Asia,16360.0,532000.0,2012,,Wikidata P1082,Wikidata P2046,32.51833740831296
Takhar Province,Afghanistan,Subdivision,AFG,South Asia,12333.0,1113173.0,2021,,Wikidata P1082,Wikidata P2046,90.25970972188438
Uruzgan Province,Afghanistan,Subdivision,AFG,South Asia,12640.0,436079.0,2021,,Wikidata P1082,Wikidata P2046,34.49992088607595
Zabul Province,Afghanistan,Subdivision,AFG,South Asia,17343.0,391150.0,2021,,Wikidata P1082,Wikidata P2046,22.5537680908724
