name,parent_country,level,iso3,region_group,area_km2,population,population_year,area_year,population_source,area_source,density_per_km2
Kalimantan Timur,Indonesia,Subdivision,IDN,Southeast Asia,195722.69694299967,29748546.05764395,2025.0,,"Estimated from national population, proportional to subdivision area",Natural Earth 1:10m Admin-1 polygon; geodesic area on WGS84,151.99333813751616
Nusa Tenggara Timur,Indonesia,Subdivision,IDN,Southeast Asia,46450.841135666626,7060218.403505423,2025.0,,"Estimated from national population, proportional to subdivision area",Natural Earth 1:10m Admin-1 polygon; geodesic area on WGS84,151.99333813751616
Kalimantan Barat,Indonesia,Subdivision,IDN,Southeast Asia,148150.42609166872,22517877.808168102,2025.0,,"Estimated from national population, proportional to subdivision area",Natural Earth 1:10m Admin-1 polygon; geodesic area on WGS84,151.99333813751616
Papua,Indonesia,Subdivision,IDN,Southeast Asia,312595.7432155434,4542600.0,2024,,Wikidata P1082,Natural Earth 1:10m Admin-1 polygon; geodesic area on WGS84,14.531867751211673
Jawa Timur,Indonesia,Subdivision,IDN,Southeast Asia,47248.61280235837,7181474.382197431,2025.0,,"Estimated from national population, proportional to subdivision area",Natural Earth 1:10m Admin-1 polygon; geodesic area on WGS84,151.99333813751616
Maluku,Indonesia,Subdivision,IDN,Southeast Asia,44947.895267692285,1945600.0,2024,,Wikidata P1082,Natural Earth 1:10m Admin-1 polygon; geodesic area on WGS84,43.28567530053985
Nusa Tenggara Barat,Indonesia,Subdivision,IDN,Southeast Asia,19644.704045911025,2985864.1446615863,2025.0,,"Estimated from national population, proportional to subdivision area",Natural Earth 1:10m Admin-1 polygon; geodesic area on WGS84,151.99333813751616
Sulawesi Selatan,Indonesia,Subdivision,IDN,Southeast Asia,46805.68462347767,7114152.249734183,2025.0,,"Estimated from national population, proportional to subdivision area",Natural Earth 1:10m Admin-1 polygon; geodesic area on WGS84,151.9933381375162
Jawa Tengah,Indonesia,Subdivision,IDN,Southeast Asia,34058.27684959806,5176631.189582097,2025.0,,"Estimated from national population, proportional to subdivision area",Natural Earth 1:10m Admin-1 polygon; geodesic area on WGS84,151.99333813751616
Jawa Barat,Indonesia,Subdivision,IDN,Southeast Asia,37096.940052041326,5638487.753197084,2025.0,,"Estimated from national population, proportional to subdivision area",Natural Earth 1:10m Admin-1 polygon; geodesic area on WGS84,151.9933381375162
Jakarta Raya,Indonesia,Subdivision,IDN,Southeast Asia,816.0274523154105,124030.73648927204,2025.0,,"Estimated from national population, proportional to subdivision area",Natural Earth 1:10m Admin-1 polygon; geodesic area on WGS84,151.99333813751616
Banten,Indonesia,Subdivision,IDN,Southeast Asia,9514.970244713406,11834087.0,2024,,Wikidata P1082,Natural Earth 1:10m Admin-1 polygon; geodesic area on WGS84,1243.7334742665237
